date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:51:52	375364/375364	---M--	200	added ('OK')	image/jpeg	etag:%225a6b1c06-5ba44%22	http://paul-themes.com/wp/jonny/jonny-demo/wp-content/uploads/2017/02/3-760x390.jpg	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/wp-content/uploads/2017/02/3-760x390.jpg	(from http://paul-themes.com/wp/jonny/jonny-demo/category/blog/)
18:51:53	21381/21381	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20May%202018%2013:21:47%20GMT	http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-12/	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-12/index.html	(from http://paul-themes.com/wp/jonny/jonny-demo/category/blog/)
18:51:54	2641/2641	---MCZ	200	added ('OK')	application/json	date:Sun,%2020%20May%202018%2013:21:56%20GMT	http://paul-themes.com/wp/jonny/jonny-demo/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpaul-themes.com%2Fwp%2Fjonny%2Fjonny-demo%2F2017%2F02%2F14%2Fbranding-do-you-know-who-you-are-15%2F	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/wp-json/oembed/1.0/embed2a8c.json	(from http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-15/)
18:51:54	877/877	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22acdb597b3a96e1c08e7cca6db8d72950%22	http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-15/feed/	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-15/feed/index.html	(from http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-15/)
18:51:54	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20May%202018%2013:21:57%20GMT	http://paul-themes.com/wp/jonny/jonny-demo/?p=1031	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/index59fe.html	(from http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-15/)
18:51:54	20852/20852	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20May%202018%2013:21:57%20GMT	http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-16/	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-16/index.html	(from http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-15/)
18:51:54	2755/2755	---MCZ	200	added ('OK')	text/xml	date:Sun,%2020%20May%202018%2013:21:57%20GMT	http://paul-themes.com/wp/jonny/jonny-demo/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpaul-themes.com%2Fwp%2Fjonny%2Fjonny-demo%2F2017%2F02%2F14%2Fbranding-do-you-know-who-you-are-15%2F&format=xml	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/wp-json/oembed/1.0/embed32db	(from http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-15/)
18:51:56	2785/2785	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20May%202018%2013:21:58%20GMT	http://paul-themes.com/wp/jonny/jonny-demo/wp-login.php	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/wp-login.html	(from http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-15/)
18:51:57	18317/18317	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20May%202018%2013:21:58%20GMT	http://paul-themes.com/wp/jonny/jonny-demo/tag/google/	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/tag/google/index.html	(from http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-15/)
18:51:57	18340/18340	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20May%202018%2013:21:59%20GMT	http://paul-themes.com/wp/jonny/jonny-demo/tag/technology/	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/tag/technology/index.html	(from http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-15/)
